family;name;class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;spore-print-color;habitat;season
Suillaceae;Suillus cavipes;[e];[3, 10];[x];[i];[y, e, n];[f];[p];[f];[f];[4, 9];[5, 15];;;[y, n];;;[t];[e];;[d];[a]
Suillaceae;Suillus punctipes;[e];[3, 10];[x];[t, s];[y, n];[f];[p];[f];[f];[4, 9];[10, 15];;;[y, n];;;[f];[f];;[d];[u, a]
Hygrophoraceae;Hygrophorus occidentalis;[p];[2, 8];[x, f];[t];[w, n, g];[f];[a, d];[d];[w];[2, 7];[3, 10];;;[w];;;[f];[f];;[d];[a]
Cantharellaceae;Cantharellus cinnabarinus;[e];[1, 5];[x, f];[s, d];[p, e];[f];[f];[f];[f];[1, 4];[5, 15];;;[p, e];;;[f];[f];;[d];[u, a]
Cantharellaceae;Cantharellus minor;[e];[0.5, 3];[x, s];[s, d];[y, o];[f];[f];[f];[f];[1.5, 4];[1, 7];;;[y, o];;;[f];[f];;[d];[u, a]
Pleurotaceae;Pleurotus dryinus;[e];[4, 12];[x];[s];[g, w];[f];[d];[c];[w];[4, 10];[0, 3.5];;;[w];;;[f];[f];;[d];[a, w, s]
Pleurotaceae;Pleurotus pulmonarius;[e];[2, 12];[x, f];[h, s];[w, b];[f];[d];[c];[w];[1, 7];[0, 15];;;[w];;;[f];[f];;[d];[u, a, w]
Mycenaceae;Panellus stipticus;[p];[1, 3];[x];[d, l];[y, n, w];[f];[e];[c];[y, n];[0.1];[5];;;[b, f];;;[f];[f];;[d];[s, u, a]
Discinaceae;Gyromitra caroliniana;[e];[5, 10];[o];[w];[n, e];[t];[f];[f];[f];[6, 10];[40, 60];;;[w];;;[f];[f];;[d];[s]
Helvellaceae;Helvella sulcata;[p];[1, 5];[o];[w];[g, k];[f];[f];[f];[f];[1, 6];[0, 20];;;[w];;;[f];[f];;[d];[s, u, a]
